gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	0	0	0		26	1	215	0.004651162790697674	254	5	1939	0.0025786487880350697
CUFF_NC.4	1	33820	36039	+	0	0	0		187	11	1660	0.006626506024096385	627	17	5079	0.0033471155739318763
CUFF_NC.2	1	45074	46980	+	0	0	0		110	4	1072	0.0037313432835820895	531	12	4815	0.0024922118380062306
CUFF_NC.3	1	51977	52743	-	0	0	0		58	2	417	0.004796163069544364	180	5	1573	0.003178639542275906
CUFF_NC.9	1	63146	64476	+	0	0	0		67	1	660	0.0015151515151515152	363	12	3056	0.003926701570680628
CUFF_NC.10	1	67285	67782	+	0	0	0		32	0	252	0.0	122	0	760	0.0
CUFF_NC.5	1	69606	71157	+	0	0	0		52	3	495	0.006060606060606061	397	15	3826	0.003920543648719289
CUFF_NC.8	1	73084	73716	-	0	0	0		63	3	415	0.007228915662650603	198	8	1493	0.0053583389149363695
CUFF_NC.12	1	75366	76624	-	0	0	0		94	4	575	0.006956521739130435	264	10	1680	0.005952380952380952
CUFF_NC.13	1	77837	78333	+	0	0	0		17	2	112	0.017857142857142856	124	2	1085	0.0018433179723502304
CUFF_NC.6	1	86737	87289	+	0	0	0		42	0	183	0.0	107	0	463	0.0
CUFF_NC.18	1	89402	91722	-	0	0	0		145	2	1446	0.0013831258644536654	612	27	5836	0.004626456477039068
CUFF_NC.19	1	95040	96380	-	0	0	0		88	2	758	0.002638522427440633	372	7	2905	0.0024096385542168677
CUFF_NC.11	1	100800	101866	-	0	0	0		56	0	455	0.0	317	4	1894	0.0021119324181626186
CUFF_NC.7	1	104712	105333	+	0	0	0		60	0	211	0.0	137	1	492	0.0020325203252032522
CUFF_NC.15	1	116797	118774	-	0	0	0		150	1	587	0.0017035775127768314	404	7	1736	0.004032258064516129
CUFF_NC.14	1	119083	119969	-	0	0	0		27	0	239	0.0	233	6	2086	0.0028763183125599234
CUFF_NC.20	1	121456	123494	+	0	0	0		185	4	1506	0.0026560424966799467	540	21	3993	0.005259203606311044
CUFF_NC.21	1	133006	133474	+	0	0	0		27	0	199	0.0	147	4	942	0.004246284501061571
CUFF_NC.16	1	141174	141695	+	0	0	0		11	2	136	0.014705882352941176	148	5	1645	0.00303951367781155
CUFF_NC.17	1	154589	156159	+	0	0	0		70	1	359	0.002785515320334262	316	8	1871	0.00427578834847675
CUFF_NC.22	1	163277	166353	+	0	0	0		198	8	1581	0.005060088551549652	907	12	6425	0.001867704280155642
CUFF_NC.25	1	180261	180962	+	0	0	0		24	2	219	0.0091324200913242	187	5	1953	0.002560163850486431
CUFF_NC.26	1	182345	182786	+	0	0	0		8	0	62	0.0	74	5	406	0.012315270935960592
CUFF_NC.28	1	192588	193200	+	0	0	0		35	3	312	0.009615384615384616	178	4	1847	0.002165674066053059
CUFF_NC.23	1	196107	196598	-	0	0	0		45	0	162	0.0	125	2	402	0.004975124378109453
CUFF_NC.24	1	197887	198512	-	0	0	0		31	0	283	0.0	178	3	1371	0.002188183807439825
CUFF_NC.27	1	210058	210613	-	0	0	0		35	0	311	0.0	130	6	1027	0.005842259006815969
CUFF_NC.29	1	219083	221145	-	0	0	0		159	3	768	0.00390625	493	9	2690	0.003345724907063197
CUFF_NC.30	1	226848	227453	+	0	0	0		35	1	217	0.004608294930875576	173	6	1187	0.005054759898904802
CUFF_NC.34	1	233075	237654	+	0	0	0		309	13	2764	0.004703328509406657	1281	40	11152	0.003586800573888092
CUFF_NC.31	1	238416	239453	+	0	0	0		43	243	380	0.6394736842105263	274	286	1883	0.15188528943175783
CUFF_NC.32	1	254830	257455	+	0	0	0		97	44	921	0.04777415852334419	551	176	5458	0.03224624404543789
CUFF_NC.58	1	283807	284180	-	0	0	0		21	0	153	0.0	118	2	771	0.0025940337224383916
CUFF_NC.33	1	294207	295108	-	0	0	0		51	2	384	0.005208333333333333	257	6	1961	0.0030596634370219276
CUFF_NC.36	1	301346	301758	+	0	0	0		20	1	204	0.004901960784313725	106	5	1127	0.0044365572315882874
CUFF_NC.35	1	308731	309427	+	0	0	0		47	0	243	0.0	175	6	860	0.0069767441860465115
CUFF_NC.44	1	319180	319521	-	0	0	0		27	0	204	0.0	110	1	592	0.0016891891891891893
CUFF_NC.37	1	341814	342849	+	0	0	0		38	1	263	0.0038022813688212928	206	5	1977	0.0025290844714213456
CUFF_NC.43	1	347638	348472	-	0	0	0		42	0	385	0.0	231	6	2031	0.0029542097488921715
CUFF_NC.42	1	355746	356392	+	0	0	0		43	0	326	0.0	184	10	1877	0.005327650506126798
CUFF_NC.39	1	358665	360498	+	0	0	0		132	5	812	0.006157635467980296	533	14	2837	0.004934790271413465
CUFF_NC.38	1	365198	366851	-	0	0	0		102	1	589	0.001697792869269949	302	3	1714	0.001750291715285881
CUFF_NC.41	1	370226	371382	+	0	0	0		56	0	283	0.0	266	4	1767	0.0022637238256932655
CUFF_NC.40	1	371997	372411	+	0	0	0		21	0	72	0.0	83	2	312	0.00641025641025641
CUFF_NC.57	1	392706	395717	-	0	0	0		263	9	1322	0.00680786686838124	799	16	3903	0.004099410709710479
CUFF_NC.54	1	409235	410549	-	0	0	0		112	0	558	0.0	397	5	1799	0.0027793218454697055
CUFF_NC.53	1	413681	414878	+	0	0	0		95	0	429	0.0	281	5	1277	0.003915426781519186
CUFF_NC.46	1	417273	417814	-	0	0	0		36	1	213	0.004694835680751174	182	5	1044	0.004789272030651341
CUFF_NC.49	1	421746	425334	-	0	0	0		105	70	946	0.07399577167019028	702	324	6375	0.050823529411764705
CUFF_NC.48	1	424665	425164	+	0	0	0		37	1	374	0.00267379679144385	119	6	1371	0.00437636761487965
CUFF_NC.45	1	425557	426435	+	0	0	0		37	1	575	0.0017391304347826088	196	16	2963	0.005399932500843739
CUFF_NC.47	1	435444	435889	+	0	0	0		40	2	313	0.006389776357827476	102	6	778	0.007712082262210797
CUFF_NC.50	1	442462	442900	+	0	0	0		22	1	259	0.003861003861003861	117	8	1219	0.006562756357670222
CUFF_NC.52	1	446824	448464	+	0	0	0		86	132	1000	0.132	361	184	4550	0.04043956043956044
CUFF_NC.51	1	463998	464582	+	0	0	0		33	1	173	0.005780346820809248	139	4	763	0.005242463958060288
CUFF_NC.55	1	482013	483177	-	0	0	0		63	0	470	0.0	330	9	2407	0.003739094308267553
CUFF_NC.59	1	512866	513261	+	0	0	0		13	11	66	0.16666666666666666	70	49	309	0.15857605177993528
CUFF_NC.60	1	514888	515295	+	0	0	0		26	2	257	0.007782101167315175	109	4	901	0.004439511653718091
CUFF_NC.70	1	523944	530099	-	0	0	0		404	14	2707	0.005171776874769117	1471	45	10461	0.004301691998852882
CUFF_NC.71	1	525592	531975	-	0	0	0		435	17	2880	0.005902777777777778	1495	48	10444	0.004595940252776714
CUFF_NC.72	1	528007	534109	-	0	0	0		397	13	2702	0.0048112509252405625	1404	47	10101	0.004653004653004653
CUFF_NC.62	1	538375	544045	-	0	0	0		268	15	2713	0.0055289347585698485	1385	107	13342	0.008019787138360065
CUFF_NC.64	1	547818	551699	-	0	0	0		110	36	886	0.040632054176072234	737	249	5394	0.046162402669632924
CUFF_NC.65	1	550120	550546	-	0	0	0		6	10	26	0.38461538461538464	49	28	198	0.1414141414141414
CUFF_NC.68	1	556826	558761	-	0	0	0		123	2	712	0.0028089887640449437	551	10	3433	0.0029129041654529565
CUFF_NC.61	1	559734	560251	+	0	0	0		17	0	191	0.0	140	3	1464	0.0020491803278688526
CUFF_NC.66	1	564136	564745	-	0	0	0		42	0	231	0.0	147	3	1146	0.002617801047120419
CUFF_NC.67	1	565230	565784	-	0	0	0		36	2	218	0.009174311926605505	139	1	885	0.0011299435028248588
CUFF_NC.63	1	568739	570386	-	0	0	0		123	4	736	0.005434782608695652	402	9	2360	0.0038135593220338985
CUFF_NC.73	1	588007	589390	-	0	0	0		74	1	452	0.0022123893805309734	265	10	1849	0.005408328826392645
CUFF_NC.76	1	591664	593419	-	0	0	0		96	1	574	0.0017421602787456446	446	9	2891	0.003113109650639917
CUFF_NC.74	1	594729	596073	+	0	0	0		111	0	768	0.0	400	11	2498	0.004403522818254604
CUFF_NC.75	1	597522	598135	+	0	0	0		37	2	235	0.00851063829787234	145	4	665	0.006015037593984963
CUFF_NC.77	1	599765	600204	+	0	0	0		33	1	400	0.0025	116	6	1455	0.004123711340206186
